Hello world	Olá mundo
This is a test subtitle	Isto é uma legenda de teste
How are you?	Como você está?
Computer	Computador
Subtitle	Legenda
You know...	Você sabe...
No matter how you look, a skirt doesn't provide much security when you're trying to keep something hidden, does it?	Não importa como você olha, uma saia não oferece muita segurança quando você está tentando esconder algo, não é?
Maybe I really do need to wear shorts to act as a firewall, huh?	Talvez eu realmente precise usar shorts para agir como um firewall, né?
W-Who knows...	Q-Quem sabe...
Well, I'll be leaving now.	Bem, eu vou embora agora.
Hey, wait a sec!	Ei, espere um segundo!
I've finally caught up with you.	Eu finalmente te alcancei.
You walk pretty fast,	Você caminha bem rápido,
Araragi-kun.	Araragi-kun.
Huh?	Hã?
Why do you know my name?	Por que você sabe meu nome?
Eh? Well, of course I would.	Eh? Bem, claro que eu saberia.
We go to the same school.	Nós vamos para a mesma escola.
Amazing! You know the name of someone like me!	Incrível! Você sabe o nome de alguém como eu!
On the first semester finals of our second year,	Nas provas finais do primeiro semestre do nosso segundo ano,
in all subjects, physical education and visual arts included,	em todas as matérias, educação física e artes visuais incluídas,
you got wrong only one question in the forms.	você errou apenas uma questão nos formulários.
That's Hanekawa, Tsubasa.	Essa é a Hanekawa, Tsubasa.
Huh? Hey, cut it out.	Hã? Ei, para com isso.
Why do you know that much?	Por que você sabe tanto assim?
Could it be that, Araragi-kun...	Será que, Araragi-kun...
you are a stalker of mine?	você é meu perseguidor?
But maybe even someone with a victim complex would think that's over the line.	Mas talvez até alguém com complexo de vítima acharia que isso é demais.
No, not really.	Não, na verdade não.
I heard it from my alien friend.	Eu ouvi de meu amigo alienígena.
Araragi-kun, you have a friend?	Araragi-kun, você tem um amigo?
Ask about the alien part first!	Pergunte sobre a parte do alienígena primeiro!
Well, it's just...	Bem, é só que...
You're always on your own, and I had the impression you led a life of solitude.	Você está sempre sozinho, e eu tive a impressão de que você levava uma vida de solidão.
Well, like you said, I don't really have any friends.	Bem, como você disse, eu realmente não tenho amigos.
If a friendless guy like me knows who you are, that means you're just that famous.	Se um cara sem amigos como eu sabe quem você é, isso significa que você é famosa assim.
Stop that already.	Para com isso.
I don't really like those kinds of jokes.	Eu não gosto muito desses tipos de piada.
Hey, Araragi-kun.	Ei, Araragi-kun.
Do you believe in vampires?	Você acredita em vampiros?
What's up with vampires?	O que há com vampiros?
There's been a rumor going around lately.	Tem um boato circulando ultimamente.
Like there's a vampire in the city,	Tipo que há um vampiro na cidade,
so you shouldn't go out alone at night.	então você não deveria sair sozinho à noite.
That's a bit vague, sounds like a baseless rumor.	Isso é um pouco vago, parece um boato infundado.
They say it's a blonde-haired, beautiful woman, a vampire whose cold eyes could chill your spine.	Dizem que é uma mulher loira e bonita, um vampiro cujos olhos frios podem gelar sua espinha.
But you can't tell if she's a vampire just off that, can you?	Mas você não pode dizer se ela é um vampiro só por isso, pode?
What if she's just an ordinary person who stands out because of the blonde hair?	E se ela for apenas uma pessoa comum que se destaca por causa do cabelo loiro?
But... I heard that her blonde hair illuminated by street lights is almost dazzling	Mas... eu ouvi dizer que seu cabelo loiro iluminado pelas luzes da rua é quase deslumbrante
and she doesn't cast shadow.	e ela não faz sombra.
However, if it happens at night...	No entanto, se acontece à noite...
Even if she was standing under a streetlight and all, they still could have just been imagining it.	Mesmo se ela estivesse sob uma luz de rua e tudo mais, eles ainda poderiam estar apenas imaginando.
Yes, even I think it's a silly rumor, too.	Sim, até eu acho que é um boato bobo também.
But, if there are vampires, I'd like to meet them.	Mas, se existem vampiros, eu gostaria de conhecê-los.
I wished something superior to humans like that really existed.	Eu desejaria que algo superior aos humanos como esse realmente existisse.
Superior to humans... You mean like God?	Superior aos humanos... Você quer dizer como Deus?
It doesn't have to be a god, though.	Não precisa ser um deus, no entanto.
Otherwise, It would all just be too unfulfilling if they didn't exist, right?	Caso contrário, tudo seria muito decepcionante se eles não existissem, certo?
Oh, my bad, my bad.	Ah, desculpa, desculpa.
Araragi-kun, unexpectedly, you're easy to talk with.	Araragi-kun, inesperadamente, você é fácil de conversar.
I got carried away, I feel like I told you something that makes no sense.	Eu me empolguei, sinto que te disse algo que não faz sentido.
It's strange that you don't have friends when you're so easy to talk to.	É estranho que você não tenha amigos quando é tão fácil conversar com você.
Why don't you make any?	Por que você não faz nenhum?
I'm going to head to the library now.	Vou para a biblioteca agora.
Do you want come with me?	Você quer vir comigo?
Why?	Por que?
What are you gonna do at the library?	O que você vai fazer na biblioteca?
I'm going to study, of course.	Vou estudar, é claro.
Of course, you say...	É claro, você diz...
You have exams next year, right?	Você tem vestibulares no ano que vem, né?
Exams? What's that?	Vestibulares? O que é isso?
I doubt I'll even graduate.	Duvido que eu vá me formar.
I won't make it in time no matter what.	Não vou conseguir a tempo, não importa o que aconteça.
Do you have a cellphone?	Você tem celular?
Of course I have at least a cellphone.	Claro que eu tenho pelo menos um celular.
Can I borrow it?	Posso pegar emprestado?
Thanks, you can have it back.	Obrigada, pode ficar com ele de volta.
I put my email and number in there.	Coloquei meu email e número aí.
Too bad!	Que pena!
You made a friend.	Você fez um amigo.
What's with her...?	O que há com ela...?
Are you alright?	Você está bem?
I-I'll get an ambulance righ-	E-Eu vou chamar uma ambulância agora-
An ambulance?	Uma ambulância?
I have no need of such a thing.	Não tenho necessidade de tal coisa.
Instead...	Em vez disso...
Give me thy blood.	Dê-me seu sangue.
A monochrome fade	Um fade monocromático
I-I didn't see anything...	E-Eu não vi nada...
Isn't a vampire supposed to be immortal?	Um vampiro não deveria ser imortal?
Isn't a vampire...	Um vampiro não é...
supposed to be immortal?	supostamente imortal?
I've lost too much blood.	Perdi muito sangue.
I can no longer regenerate, nor can I transform.	Não posso mais me regenerar, nem me transformar.
If I am left like this, I will die.	Se for deixada assim, vou morrer.
